Origin,flights,cancellations,cancellation_rate_pct,completed_flights,mean_dep_delay,dep_delay15_rate,dep_delay15_rate_pct
CMH,3283.0,73,2.2235759975632043,3209,7.866936740417575,0.1520722966656279,15.20722966656279
BOS,10624.0,252,2.371987951807229,10356,6.785341830822712,0.1518926226342217,15.18926226342217
ANC,1187.0,21,1.7691659646166806,1161,5.076658053402239,0.1515934539190353,15.15934539190353
SLC,9350.0,76,0.8128342245989305,9248,6.832828719723183,0.14965397923875431,14.96539792387543
GSP,1098.0,48,4.371584699453552,1050,6.398095238095238,0.14952380952380953,14.952380952380953
RNO,1673.0,12,0.7172743574417214,1659,6.6980108499095845,0.14948764315852922,14.948764315852921
RDU,4205.0,121,2.877526753864447,4077,9.266372332597498,0.14888398332106942,14.888398332106942
TUL,1286.0,45,3.4992223950233283,1239,7.80225988700565,0.14850686037126715,14.850686037126714
ONT,1941.0,38,1.9577537351880474,1901,7.458705944239874,0.14623882167280378,14.623882167280378
PIT,3071.0,67,2.1816997720612177,3001,6.83672109296901,0.14595134955014996,14.595134955014997
OKC,1723.0,56,3.250145095763204,1666,8.58343337334934,0.14285714285714285,14.285714285714285
PHX,15956.0,149,0.9338179994986212,15770,5.515028535193405,0.14280279010779962,14.280279010779962
IND,3485.0,139,3.988522238163558,3344,7.119916267942584,0.14264354066985646,14.264354066985646
BUR,2344.0,66,2.8156996587030716,2276,4.8031634446397184,0.14147627416520211,14.147627416520212
SFO,10839.0,81,0.7473014115693329,10720,6.390298507462687,0.13852611940298507,13.852611940298507
LAX,15157.0,158,1.0424226430032328,14958,5.787872710255382,0.13852119267281723,13.852119267281724
OAK,2868.0,25,0.8716875871687587,2834,3.409668313338038,0.13302752293577982,13.302752293577983
ELP,1337.0,30,2.243829468960359,1307,5.107115531752104,0.13236419280795717,13.236419280795717
SMF,4148.0,39,0.940212150433944,4096,5.11572265625,0.130126953125,13.0126953125
ABQ,1790.0,27,1.5083798882681565,1757,4.69778030734206,0.128628343767786,12.8628343767786
BOI,1839.0,9,0.4893964110929853,1827,3.1056376573617954,0.12862616310892172,12.862616310892172
GEG,1237.0,3,0.2425222312045271,1233,4.72911597729116,0.12570965125709652,12.570965125709652
PDX,4401.0,39,0.8861622358554874,4344,5.54696132596685,0.12569060773480664,12.569060773480665
TUS,1866.0,32,1.714898177920686,1834,2.637949836423119,0.1183206106870229,11.83206106870229
PSP,1446.0,7,0.48409405255878285,1436,3.8537604456824512,0.11420612813370473,11.420612813370473
HNL,5164.0,94,1.820294345468629,5059,6.897608222968966,0.11247282071555643,11.247282071555643
LGB,1345.0,17,1.2639405204460967,1325,3.0656603773584905,0.10716981132075472,10.716981132075471
SJC,3697.0,40,1.0819583446037329,3646,2.5060340098738343,0.10504662643993418,10.504662643993418
OGG,2237.0,46,2.056325435851587,2187,6.476909007773205,0.10333790580704161,10.33379058070416
LIH,1319.0,33,2.5018953752843065,1283,5.341387373343726,0.10288386593920498,10.288386593920498
KOA,1377.0,22,1.597676107480029,1352,3.614644970414201,0.09393491124260354,9.393491124260354
